,label,area,perimeter,physiological_length,physiological_width,aspect_ratio,rectangularity,circularity,mean_r,mean_g,mean_b,stddev_r,stddev_g,stddev_b,contrast,correlation,inverse_difference_moments,entropy
0,9,4472.0,334.59292566776276,75,88,0.8522727272727273,1.4758497316636852,25.034084505123662,10.0891,11.984933333333334,6.380822222222222,21.173183381894496,24.96868073086762,13.686466835347307,436.7176425972118,0.9642810247237381,0.8670157838848149,2.4694263092000655
0,9,8894.5,423.0609622001648,125,121,1.0330578512396693,1.7004890662769128,20.122612596293134,13.478222222222222,15.898888888888889,7.752677777777778,25.079720296941904,29.482511556078812,14.7215993449744,354.7686040424604,0.9729534806535329,0.8625624940302525,2.6910738069897775
0,9,4907.5,333.11983716487885,84,91,0.9230769230769231,1.557615894039735,22.612088825828913,10.191066666666666,11.994955555555556,6.3494222222222225,22.88798676103544,26.69662103251234,14.417630938833017,292.952568390361,0.9719739400762432,0.8880127366686609,2.181730823553605
0,9,9076.5,386.7766909599304,98,132,0.7424242424242424,1.425218972070732,16.481706458427094,12.47311111111111,14.668577777777777,7.072744444444444,24.291946294305692,28.375438976135595,13.941964926924047,233.12924980332065,0.9814784777508778,0.8823292535491629,2.416769399197541
0,9,305.5,74.18376541137695,20,27,0.7407407407407407,1.76759410801964,18.013849592832102,15.719522222222222,18.338144444444445,9.900922222222222,25.463076295655934,29.466144838916822,16.400346040880272,359.828581578133,0.9773108907563812,0.8236254786653525,3.3456162343692735
0,9,10004.0,395.0193326473236,106,127,0.8346456692913385,1.3456617353058777,15.597788201233197,14.345833333333333,17.072544444444443,8.341,26.111740428290958,30.834544725270245,15.376714253123852,245.3035125446024,0.9813387173527222,0.8688894936912376,2.6428445776844973
0,9,27602.5,898.790971159935,257,230,1.117391304347826,2.1414726926908796,29.266378401906316,18.105366666666665,21.291822222222223,7.824388888888889,27.864691677999954,32.264296672802544,13.33931260364095,234.57064205098374,0.9856265540653391,0.8470903541396086,3.511608106823403
0,9,14.0,18.485281109809875,6,7,0.8571428571428571,3.0,24.407544122049558,9.4414,11.289988888888889,5.7617,19.97797368870694,23.741514643245324,12.492797115805038,574.0479890418824,0.9537571582599869,0.8784857026842163,2.3427869102741603
0,9,11557.5,498.80107629299164,129,141,0.9148936170212766,1.5737832576249189,21.52736437041288,16.259133333333335,19.6774,9.35388888888889,26.359076128726514,31.786536918009798,15.546040095610232,318.5565866526474,0.9787603539341505,0.8401823281684713,3.1215652752290026
0,9,14067.0,843.7787783145905,161,269,0.5985130111524164,3.0787659060211845,50.612257534233514,8.975766666666667,10.1741,4.054777777777778,21.18125957515275,23.59134469981641,9.9479053884365,232.62813266443703,0.9781239023614322,0.9066896484817621,2.029309539910825
0,9,13047.0,441.98989593982697,124,137,0.9051094890510949,1.3020617766536369,14.973179130290418,18.627433333333332,22.494222222222223,8.836622222222223,27.748089517238242,33.24939514830902,13.629671754894643,260.5146240720648,0.9838534955794598,0.8340494385210712,3.4174219297951254
0,9,11476.0,738.9259654283524,134,192,0.6979166666666666,2.241896131056117,47.57856242455756,10.606966666666667,12.82488888888889,6.645133333333333,21.352418606669467,25.653941488132837,13.68643215759478,307.3363851821195,0.9760763634207152,0.8705023426715737,2.4666548063999127
0,9,3584.5,244.75230646133423,67,72,0.9305555555555556,1.3457943925233644,16.711868187513705,9.335044444444444,11.175377777777777,5.7545,21.354107351416086,25.413081897399824,13.346519595218655,319.4528794420644,0.9695485546914691,0.8950228975082599,2.132472981404474
0,9,24.0,22.14213514328003,9,7,1.2857142857142858,2.625,20.42808952930319,12.346277777777777,14.947555555555555,7.140433333333333,25.11706176487643,30.32871511771242,14.79968545577912,295.7584758559748,0.974060342265749,0.8718219279866575,2.523870195221522
0,9,26867.0,885.3767577409744,263,254,1.0354330708661417,2.4863959504224513,29.17675971072022,18.103277777777777,21.383144444444444,7.174677777777778,28.255046556727514,32.84009254116787,12.306680611519525,227.02378522984458,0.9856329535165564,0.8499551762396331,3.359219822488894
0,9,6064.0,305.2792179584503,80,95,0.8421052631578947,1.2532981530343008,15.368634715917384,8.647377777777777,10.305266666666666,5.033611111111111,19.991637468689408,23.60225109405174,11.903992479831148,246.4999486396498,0.9770705971045881,0.9013190334786454,2.0169652210326134
0,9,24218.5,742.6244552135468,271,165,1.6424242424242423,1.8463158329376304,22.771479715144086,26.991455555555557,32.30683333333333,14.707922222222223,32.08691848874834,38.09630950302142,17.998808957957795,311.6404706975687,0.981796029730251,0.784089657802201,4.337093797245345
0,9,4372.0,361.7056245803833,101,83,1.216867469879518,1.9174290942360477,29.92473898743943,7.529411111111111,8.989877777777778,5.0322,19.219521368993817,22.805449587191887,12.912283851864126,317.6752659739078,0.96512001989843,0.9154820543293499,1.766094900233842
0,9,25453.5,753.5950125455856,130,267,0.4868913857677903,1.363663150450822,22.311487337049183,16.521166666666666,19.666755555555557,8.052077777777777,26.83728452845241,31.42735986589149,13.427494558825334,194.71817503905623,0.9874542392572747,0.8548207314473281,3.2225986311038337
0,9,7956.0,421.3036026954651,119,112,1.0625,1.6752136752136753,22.309794575688574,14.259355555555555,16.746255555555557,8.29341111111111,25.063242257808152,29.34807702163848,15.001678014582565,389.0703324720454,0.972872738984123,0.8227537985944139,3.1367207169220697
0,9,4410.5,288.8355666399002,71,92,0.7717391304347826,1.4810112232173223,18.915312222240615,7.6554,8.832888888888888,4.827233333333333,19.547541071733576,22.434509292825563,12.574809320887002,295.08567851590027,0.9682031009010034,0.89822101274016,1.9140850535479164
0,9,24518.0,794.6660826206207,146,273,0.5347985347985348,1.6256627783669142,25.756349737645944,15.062155555555556,18.163833333333333,8.943877777777777,25.198194446300715,30.115579813906585,15.296072671933201,245.00248194464638,0.983740905612296,0.8543843031755397,3.0386678246350787
0,9,31731.5,831.8792859315872,255,224,1.1383928571428572,1.8001039976049036,21.808712048344624,20.851233333333333,24.96608888888889,8.1613,28.790957909867775,33.87735731909194,12.389750875398764,203.6945081524069,0.9882400074752429,0.8267053574221318,3.7488095303469313
0,9,28894.5,830.565576672554,170,268,0.6343283582089553,1.5767706656976241,23.874411294655115,17.301144444444443,20.692766666666667,9.59531111111111,26.53761378415387,31.455190296162215,15.223684187362245,312.17470544699347,0.9807481435460965,0.8351702076580085,3.379593246870708
0,9,123.0,52.97056233882904,21,11,1.9090909090909092,1.8780487804878048,22.812036377981897,7.264833333333334,8.516022222222222,4.627666666666666,19.226183158940078,22.292107446347604,12.445011097713904,466.01654200363157,0.9471051732570355,0.9037615134203596,1.8495175971184818
