,label,area,largest_area,number_of_elems,perimeter,aspect_ratio,circularity,mean_r,mean_g,mean_b,stddev_r,stddev_g,stddev_b,skew_r,skew_g,skew_b
0,9,8081.0,4496.5,3,559.2863576412201,0.5780944400747089,38.70823287261264,50.98402744912447,60.55702792238523,32.99242782773308,7.096128902310426,7.143031252446515,7.855711305544792,0.6749069160738416,0.22723080968525358,0.41428924839148434
0,9,9554.5,5435.0,2,548.4995609521866,0.5993645059937539,31.48796570880124,57.67242424242424,67.70969696969696,33.943030303030305,6.194284362984421,7.455210835049625,7.037359676846419,1.0125931123341176,-0.28625385617073756,0.4943661109838234
0,9,7064.0,3129.5,3,222.40916073322296,0.96875,7.002524742080493,57.910566905696115,67.71194696252199,36.5669056961169,7.441213116720022,7.059172893713381,6.929986618723591,1.2842429691936226,-0.022208083457447653,0.6960095979552502
0,9,8902.0,4440.0,3,273.2792184352875,1.2832950521743358,8.389298048595997,57.762575013638845,67.37926895799237,33.36475722858702,6.449834646291631,5.6842318926758155,6.536644923085552,1.3272598358796572,0.47541104596411615,0.9476613261627914
0,9,11930.0,7304.5,2,348.57568180561066,1.0587171751222817,10.184828662719726,54.31065136576693,63.22805883303701,34.808469371262326,7.687265871709489,7.795907728102536,8.403379258672034,0.5261962410551685,0.04638686511225766,0.04188687821106207
0,9,9681.5,5164.0,2,281.2792181968689,1.1574540361014103,8.172080626911303,59.77706107639589,71.01612578109253,35.36857488409595,6.003584052682551,4.817318040330713,6.615883729446447,1.3716005841609817,-0.006474124706663645,0.7387795183786529
0,9,12837.5,12837.5,1,608.8843369483948,2.0218978343632013,28.879465299403027,57.6651905016416,67.35947163472551,25.430938382835762,11.671010271072355,10.784419488971627,11.732029315305118,0.9396102043939588,0.03689247556088175,0.27155052665175716
0,9,9508.0,6434.5,2,678.482315659523,1.4313725157607828,48.41588690184146,48.72417604501608,57.647909967845656,31.599377009646304,6.613298554401672,6.7666986829508815,7.926408124324795,1.1111774758704345,0.48948426471343787,0.6408734521441867
0,9,11368.0,5452.5,3,323.462983250618,0.8333333742030107,9.203756292521954,57.106483065343824,68.78275744098529,33.27343482723229,5.543165824461614,6.899455098919036,7.116238536720567,-0.10997254147751317,-0.8175185037205945,-0.3382981586090607
0,9,6473.0,6473.0,1,604.641695857048,0.4255733228298227,56.47946552894902,54.806446821152704,61.80020796197267,25.169637551990494,10.382986908553386,8.169042541636488,8.4723544160816,1.0056972170174456,0.7166541564560357,1.0904263823428824
0,9,12421.5,6604.0,2,320.53405153751373,0.8017544242900144,8.271310082925051,57.95414434289316,70.13819728963126,27.777970375039395,6.55972891913678,6.732704505278985,6.854610529555003,0.3347040956035248,-0.31825224010112424,-0.06124873190095153
0,9,8368.5,5372.5,2,524.4579304456711,0.5013071702603817,32.86803140435638,50.87937788018433,61.14642857142857,32.19228110599078,5.893239005200276,5.871422719956271,6.512820419725768,1.0451768627962925,0.4046954434204324,0.36909397568801866
0,9,6721.5,3111.5,4,287.6639941930771,0.9890582373117199,12.311325382000252,54.529411764705884,65.27427693167529,34.316193936006705,7.5270557477806905,8.6331195013179,7.416108553571692,0.3250739915028701,0.08312695704732258,0.24272893505364393
0,9,8072.0,6081.0,3,573.8721441030502,1.02820740660276,40.79896404576711,60.37537180249851,72.79785841760857,35.51397977394408,7.41895495063569,9.443526760389046,7.3377561936840765,0.3325796642760334,-0.023311780858204276,0.35072467273077734
0,9,12148.5,12148.5,1,614.8843368291855,2.5498542081136732,31.12176381264084,59.14912987431518,69.6353528843055,23.769497260715436,9.89932793531717,8.350925926971644,9.893118519612305,0.8470185231004529,0.23907587015312576,0.49251775264829345
0,9,6288.0,2938.5,3,225.09545266628265,1.0,8.05788212643745,51.71537406673777,61.82477525521865,30.316775864696023,6.3088559726611875,6.21618374519531,7.199433914814613,0.8386100045714319,0.3216580736128388,0.39898229342115965
0,9,16749.5,10825.5,4,504.6589410305023,2.653367212929317,15.205268620676916,62.93766717060123,75.27479939527852,34.47342714269101,7.38001744389533,7.871198638050377,7.801762961227865,0.322513371464111,-1.0481770425759411,-0.6620496790542704
0,9,7343.0,4186.5,3,278.6934313774109,1.0277777777777777,10.57742458026905,53.73190984578885,63.49729800975353,37.64755502833795,6.781578881755783,7.12993654051198,6.977335903497695,0.5677845165601783,0.21803019735247658,0.3668666874964554
0,9,11401.5,11401.5,1,511.4873677492142,2.095077486907596,22.94604458773143,56.914300464636035,67.68671485114439,27.853725692651867,9.843293943691569,8.433367897529417,7.332805320849138,0.571206477085922,0.2935967291867337,0.47088246209124335
0,9,9967.0,6393.5,2,613.0264724493027,1.146401892125225,37.70457067559302,55.642397032988484,65.5340620730041,32.735506539137226,7.067683591508942,7.990610415070827,7.907892703104437,0.5225852787117818,-0.294739992444555,0.5243991344647824
0,9,5686.0,3622.5,2,490.5168058872223,0.6825790714682702,42.31564137492137,53.301950805767596,61.61526717557252,34.22866836301951,7.597894083099869,8.542479056052995,8.42706326415825,0.43696262357085514,-0.16174947968050898,0.1889636684855742
0,9,11188.0,11188.0,1,557.7888842821121,0.5008251413495148,27.809120435170136,54.946397341727874,65.95584120321791,33.07196572228052,7.115939755108106,7.056477181818545,7.835990255563672,0.8454650842644218,-0.3642801894470183,-0.19688890857017477
