,label,area,largest_area,number_of_elems,perimeter,physiological_length,physiological_width,aspect_ratio,rectangularity,circularity,mean_r,mean_g,mean_b,stddev_r,stddev_g,stddev_b,contrast,correlation,entropy
0,9,2133.0,1822.0,2,280.79393672943115,43,100,0.43,2.015939990623535,36.96447956118696,12.9523,14.4827,8.2423,24.60295967378722,27.150313086776734,15.926989379980135,798.4135924905621,0.9421054031012133,2.9921824966896784
0,9,2500.5,2500.5,1,317.80612874031067,100,78,1.2820512820512822,3.119376124775045,40.3922157428126,16.3571,18.2915,9.5064,27.949529147912312,31.186274669315665,16.515143324839784,750.108469288848,0.9480591325669379,3.276011948396076
0,9,1784.0,1784.0,1,332.0487688779831,53,100,0.53,2.9708520179372195,61.80290634158309,12.824,14.3613,8.2327,27.807226111210735,30.35600043335749,18.93616515321938,730.766051168248,0.9339141964099458,2.618096524142288
0,9,1994.5,1046.0,2,164.8528116941452,45,50,0.9,1.1281022812735022,13.625695424149058,13.002,15.1166,7.3771,25.47220438046146,29.425183167484274,14.57338312095033,688.3890462707886,0.9441564394329891,2.584050302139434
0,9,2838.5,1750.5,2,167.237588763237,52,55,0.9454545454545454,1.007574423110798,9.85323624990015,17.079,19.7248,10.8707,27.087568347860245,30.780325939794725,17.441260892206156,743.0341676869707,0.95358391017032,3.408797650244395
0,9,2465.0,2465.0,1,270.4507905244827,48,100,0.48,1.947261663286004,29.67287224962176,16.5533,19.049,9.7019,28.759401230032587,32.619978525437446,17.060118299413986,577.5798589429651,0.9579734969772974,3.028226569086839
0,9,2792.5,2792.5,1,262.4924222230911,85,74,1.1486486486486487,2.252461951656222,24.674045380320695,16.9637,20.3416,7.1692,27.36325240738023,32.412909610832536,12.667682162100531,649.5379435771861,0.9585057013927694,3.4772775707209966
0,9,2151.0,2151.0,1,368.3330398797989,80,100,0.8,3.7192003719200373,63.072630528634825,12.3743,13.9355,7.734,23.4441421150359,26.129633364247574,15.010224648552066,972.9488360881543,0.9322885872735273,3.016999039200127
0,9,3079.5,3079.5,1,307.80612897872925,86,100,0.86,2.792661146289982,30.76623251724959,19.1662,22.1449,11.249,28.618794131828825,33.197893065524504,17.616804449161602,730.7508320579532,0.9554312445447288,3.8318287591824705
0,9,1321.0,1321.0,1,227.62236380577087,48,92,0.5217391304347826,3.342922028766086,39.221756627196605,8.1485,9.4363,3.6703,20.674337903546025,23.585617276425054,9.597468307319383,571.7064664319967,0.9397394676928191,1.9505304319685297
0,9,3159.0,3159.0,1,283.7644988298416,65,100,0.65,2.05761316872428,25.48980398738562,19.9553,23.6059,9.5076,29.138773170983022,34.227184885555516,14.29012743959969,636.2252310988675,0.9609501831816503,3.7424900521018567
0,9,2282.5,2282.5,1,280.3502860069275,54,100,0.54,2.3658269441401973,34.43429698320528,13.9647,16.064,9.534,27.362208498401586,30.572302890034305,21.670820104463054,702.3738276706458,0.9502508606814406,3.0757912272852455
0,9,1638.5,1058.0,3,172.02438473701477,44,57,0.7719298245614035,1.5306682941714984,18.060658495055527,10.7151,12.4056,6.6853,23.400460080733453,26.986416743243257,14.695817905445075,741.9877958881747,0.9323560946162446,2.4028027841374247
0,9,2043.5,2043.5,1,341.80612874031067,100,65,1.5384615384615385,3.1808172253486666,57.17221905771364,14.4468,16.7714,8.4498,27.901451033234814,32.32815710862591,16.62562119019918,800.861066982961,0.9334002115701777,2.9842730029815394
0,9,2679.5,2679.5,1,284.6345559358597,91,82,1.1097560975609757,2.7848479193879454,30.235801617019607,17.0816,20.4756,6.636,28.24578803007627,33.29902407939308,11.94896246541933,665.9411187633914,0.9553872673984185,3.3611016656372747
0,9,1672.5,1008.0,2,158.71067678928375,37,55,0.6727272727272727,1.2167414050822123,15.060734784402086,10.3334,11.5768,5.886,22.75747886827537,25.138828567775388,13.132715027746547,609.1445079583716,0.9466082644058381,2.314578330506417
0,9,4303.0,4303.0,1,469.0193313360214,100,76,1.3157894736842106,1.7662096211945155,51.12227124491951,30.0314,34.7766,16.1542,34.05578385590324,38.986975933508866,18.854968108167142,786.0917737985919,0.9542433617708882,4.872503730843151
0,9,1378.0,943.0,2,132.22539496421814,37,39,0.9487179487179487,1.0471698113207548,12.687630677390047,8.7682,10.3024,5.9695,21.411956210491372,24.820401975794027,14.57485402156742,591.5599280685644,0.9379879896022449,1.9728566900973095
0,9,2605.0,2605.0,1,233.13708245754242,42,88,0.4772727272727273,1.418809980806142,20.864836551560437,15.8604,19.0833,7.6673,26.81412522981125,31.819188567749492,13.175067768706162,560.6265870829507,0.9623369617228668,3.262024290453849
0,9,2567.5,1737.5,2,217.23758816719055,59,59,1.0,1.3557935735150926,18.3805919036798,16.5311,18.6072,9.7166,27.89229701530514,31.12594268708982,16.944771595982047,862.7326928374655,0.9420351899019263,3.5040554871354104
0,9,1263.5,806.5,2,156.95331740379333,34,53,0.6415094339622641,1.4261970716264345,19.496908463835297,8.0677,8.9987,5.0237,20.664561856231067,22.980511271727615,13.065639605851677,637.4472421181512,0.930142381704734,1.9739336934664315
0,9,2587.5,2587.5,1,258.35028541088104,47,97,0.4845360824742268,1.7619323671497584,25.795118829713502,15.4765,18.6531,9.2715,26.041932488776638,31.004692554353767,15.850551654437771,645.7185356086113,0.9567073792853864,3.143485876705064
0,9,3319.5,3319.5,1,257.1787134408951,84,73,1.1506849315068493,1.8472661545413467,19.92495576054045,20.3436,24.5828,7.8273,29.000833419748478,34.44469979779182,12.067894377645173,576.3441164166921,0.9658933988493131,3.8747066991690495
0,9,3037.0,3037.0,1,247.6223635673523,54,93,0.5806451612903226,1.6536055317747778,20.18993577170958,17.753,21.1539,9.8512,27.169618896848736,32.094052638923614,15.537794520458815,619.5385006631976,0.9627415518381744,3.6408441829705955
0,9,1341.5,605.5,3,161.78174364566803,24,57,0.42105263157894735,1.019754006708908,19.51049763476157,8.8672,10.1867,5.8807,21.800902829011466,24.679198591323825,14.577910258675622,814.0465003571064,0.9141831649428067,2.0739528961893288
0,9,2525.0,2525.0,1,332.04876935482025,83,100,0.83,3.287128712871287,43.665895140614104,17.2902,20.1349,10.998,30.60814571253868,34.76210727199949,22.292375288425415,776.5227494643404,0.9444209715329375,3.1785390268431577
0,9,2156.0,2156.0,1,238.30865502357483,43,93,0.46236559139784944,1.8548237476808906,26.340916075670314,13.9008,16.5459,7.1684,26.24753244326026,30.88989305889549,13.942260987372169,566.8884817875727,0.9557430853136557,2.6818903900561
0,9,3112.5,3112.5,1,347.4629830121994,66,100,0.66,2.1204819277108435,38.788923554613966,21.3979,22.4547,11.8326,32.35927340948805,33.68114825699978,18.456981802017363,836.9030721354964,0.94858297579328,4.489624839439027
0,9,2318.5,2121.5,2,298.14927446842194,61,100,0.61,2.6310114298037526,38.340733174917574,14.9663,17.493,9.7172,26.566421744563193,30.713344835755027,17.42322083198167,944.5520709621468,0.9316869013811012,3.036825520644391
0,9,3143.0,3143.0,1,263.07820761203766,84,79,1.0632911392405062,2.111358574610245,22.02040831064664,19.9414,23.8357,10.0477,29.236038822658585,34.61056349599064,14.936158298237203,628.2441276400367,0.9608399869433698,3.601732920952004
0,9,1192.0,570.0,3,102.42640602588654,28,31,0.9032258064516129,0.7281879194630873,8.801315982701144,7.8229,9.0178,5.2837,20.78769192551208,23.533909219677046,13.967333829689903,605.0423232323233,0.9285569843163736,1.789114831143826
0,9,2086.0,2086.0,1,333.0782068967819,100,53,1.8867924528301887,2.5407478427612658,53.183649045817575,14.3117,16.0991,8.4448,27.64869514299002,30.72331491213147,16.670259534872272,791.0906019793899,0.9372572895206959,3.1237149045300883
0,9,2720.5,2720.5,1,241.722869515419,94,47,2.0,1.623966182687006,21.477649566906187,19.9022,23.5025,9.1522,32.20874780490543,37.72099672264772,15.154512039653405,511.3182177838996,0.9621571026240632,3.2405719826215145
0,9,1888.0,1399.5,2,253.1787132024765,57,69,0.8260869565217391,2.083156779661017,33.950985603210725,13.939,15.7926,9.1564,28.706443161771194,31.903986980313295,19.61936642809854,765.7110794816856,0.9315367058030088,2.792295394583232
0,9,1494.5,740.5,3,109.98275542259216,30,38,0.7894736842105263,0.7627969220475075,8.09381498183053,10.3027,12.1414,6.7693,24.872126421156672,28.58178801334864,17.629749785802407,599.9495250484645,0.9379587981979292,2.127142877711692
0,9,3135.5,3135.5,1,263.32084798812866,78,87,0.896551724137931,2.1642481262956466,22.113815654660232,18.8635,22.9591,8.8278,27.75860709311618,33.41928825079911,13.65350310945876,646.2152877257423,0.9608556721988791,3.594409122974591
0,9,2714.5,2683.0,2,241.9655089378357,54,90,0.6,1.7903849696076626,21.5683578985249,15.1209,18.1768,8.7494,24.72925156954816,29.26765008947592,14.522899147208864,653.312680083665,0.9593476621283888,3.2828188945092096
0,9,2005.0,2005.0,1,276.59292685985565,49,100,0.49,2.4438902743142146,38.156432513167815,12.4511,14.2274,7.4143,24.866435385676013,27.915384454454497,15.208026022794675,620.8107728803183,0.9514303507991302,2.802520766422052
0,9,1966.0,1966.0,1,338.39191591739655,100,64,1.5625,3.2553407934893186,58.24470435312634,13.1622,15.2573,8.2761,26.457393884507976,30.24681300087664,17.897018432968103,789.3884501581472,0.9351813527916762,2.816698867807291
0,9,3143.5,1752.0,2,167.3380924463272,53,52,1.0192307692307692,0.8767297598218546,8.907917029927008,22.4685,26.0152,12.8589,32.824661578605806,37.574647955237054,19.326303081293123,647.1045712172227,0.9568009465597804,3.7937820483145934
0,9,3072.0,3072.0,1,275.07820773124695,74,94,0.7872340425531915,2.2643229166666665,24.63151704708172,16.8465,20.1385,10.7739,25.100548554762703,29.682511985174028,16.43377554885061,713.9424107233956,0.9586105860650462,3.528500268643687
0,9,2920.0,2920.0,1,260.9360725879669,64,92,0.6956521739130435,2.0164383561643837,23.31768286905231,18.5545,21.7604,9.2134,28.985866034155336,33.39222052873993,15.671357964133165,607.8011322824202,0.9611272098078817,3.4502806608955803
0,9,3082.5,3082.5,1,297.46298384666443,100,80,1.25,2.59529602595296,28.705345258381488,17.977,20.6579,10.8995,26.779672720180876,30.419412676611625,16.42992391187494,730.4456154984185,0.9570650140015993,3.6239644204006827
0,9,2318.0,1318.5,2,156.61017096042633,43,49,0.8775510204081632,0.9089732528041415,10.580994671377896,13.5309,15.9596,7.7407,24.382564368622095,28.40946968600435,14.28269104580786,731.8333200693808,0.9492092628836062,2.9138159286129
0,9,1749.0,1506.5,2,248.69343149662018,70,61,1.1475409836065573,2.441395082904517,35.362162875679886,11.1881,12.5728,7.5751,23.76948292222614,26.5292084344784,16.17358834612777,750.0317669115395,0.9352901837520873,2.48224688179945
0,9,3239.0,3239.0,1,276.59292685985565,67,100,0.67,2.0685396727384995,23.61952676409431,20.0227,23.8324,11.3667,28.684242794781948,33.78443591714978,16.672925091596852,650.3870196918681,0.9606795147962703,3.707843848943022
0,9,2369.0,1427.5,2,182.7523069381714,45,57,0.7894736842105263,1.0827353313634445,14.098102866704773,15.1626,17.3506,9.1,26.96017361294248,30.448222930739327,16.619049310956388,686.4455303030303,0.9508681289638424,3.079993454737968
0,9,1840.5,1616.0,2,244.79393649101257,73,59,1.2372881355932204,2.3401249660418366,32.55858263665629,11.4599,12.5085,7.5068,23.779259702312014,25.85129257406678,15.749811229344942,801.0037182430362,0.9353175282249074,2.722180940115898
0,9,2180.0,2180.0,1,260.7939363718033,100,39,2.5641025641025643,1.7889908256880733,31.19884277444962,14.8172,17.3429,7.8599,27.487644208989607,32.200970786453006,14.830835175066845,576.1976076420774,0.9540725209363822,2.768967254051723
0,9,1889.5,1122.5,2,144.12489080429077,41,46,0.8913043478260869,0.9981476581106112,10.993376104444954,11.2152,13.2306,6.9058,23.105434186788184,26.766942739879727,14.528397239888507,570.761733751658,0.9539519206619413,2.5068417363112347
0,9,3564.5,3564.5,1,434.0903992652893,93,100,0.93,2.6090615794641603,52.864209492018034,24.8753,27.939,13.8744,33.16495363949722,36.90652623859363,19.111672471031937,986.1606552902764,0.9407717623021996,4.668951718958384
0,9,1285.0,1285.0,1,202.9949471950531,82,34,2.411764705882353,2.1696498054474707,32.06766426982288,11.1964,12.7935,2.9943,28.428820359628013,32.27371465682251,8.835092954236533,408.6878471584532,0.9436395766112591,1.836217483121994
0,9,3694.5,3694.5,1,313.11983728408813,76,97,0.7835051546391752,1.9953985654351063,26.537835295930122,23.0878,26.2347,13.3689,30.58544247121496,34.31745351727018,18.18714416256714,709.5738763901643,0.9600873606458915,4.518077564446289
0,9,2244.5,1444.5,2,186.75230622291565,51,57,0.8947368421052632,1.2951659612385833,15.538616119214819,13.4793,15.1946,8.0414,24.593453834506448,27.648582799847084,14.913553769641895,789.7249635241301,0.9443978028213607,2.9775033164450098
0,9,3048.5,3048.5,1,249.8650040626526,58,95,0.6105263157894737,1.8074462850582254,20.47975078078707,18.683,22.5473,9.3502,27.786444734798298,33.37809405448429,14.570077555044104,633.7981552902766,0.9605592381448078,3.367024979335641
0,9,1502.5,890.0,2,159.5391036272049,28,58,0.4827586206896552,1.080865224625624,16.94024997415775,9.3933,10.6699,5.2601,21.835897396489116,24.534346006975607,12.460050079754899,621.0206353943474,0.9405760595389931,2.107117668404001
0,9,2876.0,2876.0,1,280.73506236076355,65,100,0.65,2.2600834492350486,27.40339890080035,17.2611,20.6271,9.0053,27.133188658725683,31.904295096271913,15.35147132720509,690.8909968370574,0.9567334778909777,3.4498500327042696
0,9,2328.0,2328.0,1,237.62236416339874,48,93,0.5161290322580645,1.9175257731958764,24.254462178094023,16.496,19.5437,7.0238,29.81017249195315,35.033448164718244,13.406223687526625,533.6668725130089,0.9579198192428151,3.0647896114387994
0,9,2335.5,2335.5,1,259.17871260643005,99,57,1.736842105263158,2.4161849710982657,28.76198033325903,14.4859,17.2159,7.5504,26.2191533271004,30.64281787287194,14.104228438308846,621.8030496888073,0.9552034187493796,2.901018505831269
0,9,2147.5,2147.5,1,269.379723072052,100,38,2.6315789473684212,1.769499417927823,33.79065667165329,14.2617,16.0773,7.9181,27.169755484913736,30.5378736114681,15.78340876965429,581.4109070503009,0.955014783589829,2.953812417558488
0,9,2022.5,1237.0,2,186.8528116941452,47,54,0.8703703703703703,1.2548825710754017,17.262780340176857,13.2095,15.1651,8.3286,26.151286961639194,29.52832609529365,16.71775170410184,739.304938271605,0.9411564938541398,2.8755090967977432
0,9,2604.0,2604.0,1,305.07820785045624,66,100,0.66,2.5345622119815667,35.742209257006984,16.7315,20.0194,7.5261,28.083290543488665,33.102299370889625,13.502078313726374,691.3378815937149,0.9527280225612206,3.2951968776265335
0,9,1721.5,1721.5,1,230.7523066997528,100,27,3.7037037037037037,1.5683996514667442,30.93036714914713,11.3602,13.485,5.9442,24.729902061269875,28.996320025134224,13.11555131742467,555.1142444648506,0.9488551743711993,2.3772152324659186
0,9,1703.0,953.5,2,155.7817440032959,49,44,1.1136363636363635,1.266001174398121,14.250118476047222,10.4178,11.6895,6.4871,22.635941402115353,25.201898534634257,14.340210374677216,627.8421390674421,0.9458526219604791,2.4295862004070363
0,9,3033.0,3033.0,1,281.56348860263824,79,92,0.8586956521739131,2.3963072865150017,26.138476133889878,18.3424,21.7195,11.511,27.87471546473614,32.67775726315991,18.126121454961073,689.1326022854811,0.9577163630344492,3.5479857727406268
0,9,2344.5,2344.5,1,232.551295876503,40,90,0.4444444444444444,1.5355086372360844,23.066796849580225,15.4582,18.8056,6.133,27.57253076451271,33.25848175488473,12.233139866771735,568.1325022956842,0.9570894760003835,2.8897609001002285
0,9,2420.0,2420.0,1,310.24977934360504,100,53,1.8867924528301887,2.190082644628099,39.77476263750232,14.7936,16.3627,9.1496,26.65405408263441,28.7371666785367,17.341903581787093,721.7176048362412,0.9514030575406534,3.252256806048739
0,9,1977.5,1977.5,1,247.6639941930771,99,38,2.6052631578947367,1.902402022756005,31.017675863296343,12.8075,15.2251,7.4553,25.52105099226911,29.94005728100733,15.153653087952094,602.5236952861952,0.9498499552023469,2.4835540025743397
0,9,1604.0,805.5,2,115.63960897922516,33,40,0.825,0.8229426433915212,8.336982022985095,10.9685,12.976,6.9653,24.66493680814934,28.788314018017797,15.907485530717919,652.793710080604,0.9358566477404013,2.3120499249904167
0,9,2203.0,2203.0,1,268.04876935482025,99,65,1.523076923076923,2.9210167952791646,32.614681231336185,14.6514,17.4363,7.8121,27.215280230782113,32.024152483867546,14.821996950141367,639.9793403734313,0.949800846588978,2.779884698986068
0,9,2338.0,2338.0,1,266.93607115745544,37,100,0.37,1.5825491873396065,30.476846058587732,14.6361,16.739,7.6389,26.29235015722254,29.72461066187411,13.839129553190837,608.9501790633608,0.9566275554434214,2.9139094322371726
0,9,1155.5,623.0,2,131.05382251739502,25,51,0.49019607843137253,1.1034184335785375,14.86378571736986,7.5359,8.3186,4.7859,20.254937945844215,22.221887724493616,13.05592820101275,616.6955047954291,0.9267602917346598,1.7926317638528406
0,9,2213.0,2213.0,1,267.27921772003174,48,100,0.48,2.169001355625847,32.28114786490381,14.4352,17.1175,9.1877,27.117706410388028,31.77735189958408,18.485028231247036,599.1949834200592,0.9537080578053114,2.886925693949003
0,9,3069.5,3069.5,1,288.1492751836777,92,81,1.1358024691358024,2.4277569636748657,27.050009704798434,20.0551,22.9971,11.7306,30.184076331569273,34.063685819212225,18.21406115175855,654.3870883073156,0.9587111537012367,3.6000016213884365
0,9,1909.0,1909.0,1,244.73506247997284,64,92,0.6956521739130435,3.0843373493975905,31.375196860699955,11.0098,13.3889,4.1138,22.701482417674843,27.06457198608543,9.563704803056186,620.0205223956739,0.9510713574697489,2.5466908039667975
