	label	area	largest_area	number_of_components	height	width
0	Cleavers	8069.5	4629.5	3	200	200
1	Cleavers	9077.0	5168.0	2	200	200
2	Cleavers	6683.5	3053.5	3	200	200
3	Cleavers	8293.0	4021.5	3	200	200
4	Cleavers	11736.0	7255.0	3	200	200
5	Cleavers	9458.5	5027.5	2	200	200
6	Cleavers	12211.5	12211.5	1	200	200
7	Cleavers	8434.5	5653.5	3	200	200
8	Cleavers	10982.5	5312.5	3	200	200
9	Cleavers	6194.0	6194.0	1	200	200
10	Cleavers	12454.5	12454.5	1	200	200
11	Cleavers	8052.0	5186.5	2	200	200
12	Cleavers	6489.0	3061.0	6	200	200
13	Cleavers	7804.5	6189.0	3	200	200
14	Cleavers	11851.5	11851.5	1	200	200
15	Cleavers	6298.5	2929.0	3	200	200
16	Cleavers	16270.5	10687.5	4	200	200
17	Cleavers	6095.0	4096.5	4	200	200
18	Cleavers	11260.5	11260.5	1	200	200
19	Cleavers	9981.0	6441.0	3	200	200
20	Cleavers	5494.0	3537.0	4	200	200
21	Cleavers	10846.0	10846.0	1	200	200
22	Cleavers	14031.5	14031.5	1	200	200
23	Cleavers	12802.0	12802.0	1	200	200
24	Cleavers	6688.0	2432.5	6	200	200
25	Cleavers	9813.0	5291.5	4	200	200
26	Cleavers	9380.5	9380.5	1	200	200
27	Cleavers	10636.0	8596.0	4	200	200
28	Cleavers	9270.0	4261.5	5	200	200
29	Cleavers	13419.0	13419.0	1	200	200
30	Cleavers	5099.5	1983.5	7	200	200
31	Cleavers	7503.0	5363.0	2	200	200
32	Cleavers	11270.0	11270.0	1	200	200
33	Cleavers	7199.0	5307.0	5	200	200
34	Cleavers	6224.0	2978.5	3	200	200
35	Cleavers	13523.5	13523.5	1	200	200
36	Cleavers	11157.5	11157.5	2	200	200
37	Cleavers	7841.0	4411.5	2	200	200
38	Cleavers	7551.5	4506.5	5	200	200
39	Cleavers	12480.0	6994.5	4	200	200
40	Cleavers	13127.0	13127.0	1	200	200
41	Cleavers	12219.0	12219.0	1	200	200
42	Cleavers	12083.0	6131.0	2	200	200
43	Cleavers	9875.0	5307.5	3	200	200
44	Cleavers	6853.5	4313.5	4	200	200
45	Cleavers	13254.0	13254.0	1	200	200
46	Cleavers	9150.0	5383.5	2	200	200
47	Cleavers	6968.0	6345.0	5	200	200
48	Cleavers	8459.5	4690.5	2	200	200
49	Cleavers	7649.5	4444.0	2	200	200
50	Cleavers	13798.5	13798.5	1	200	200
51	Cleavers	6055.0	6055.0	1	200	200
52	Cleavers	14641.0	14641.0	1	200	200
53	Cleavers	8858.5	5522.0	3	200	200
54	Cleavers	12786.5	12786.5	1	200	200
55	Cleavers	5785.5	2476.0	3	200	200
56	Cleavers	11888.0	11888.0	1	200	200
57	Cleavers	10087.5	10087.5	1	200	200
58	Cleavers	9790.0	9790.0	1	200	200
59	Cleavers	7779.5	4436.5	3	200	200
60	Cleavers	8766.0	4829.5	6	200	200
61	Cleavers	10146.0	5126.0	3	200	200
62	Cleavers	7324.0	7324.0	1	200	200
63	Cleavers	7238.5	4267.5	3	200	200
64	Cleavers	11939.0	11939.0	1	200	200
65	Cleavers	10242.0	10242.0	1	200	200
66	Cleavers	9170.0	9170.0	1	200	200
67	Cleavers	8207.5	8207.5	1	200	200
68	Cleavers	6893.0	3364.0	3	200	200
69	Cleavers	9896.5	9896.5	1	200	200
70	Cleavers	9136.0	9136.0	1	200	200
71	Cleavers	4639.0	2335.0	3	200	200
72	Cleavers	8697.5	8697.5	1	200	200
73	Cleavers	12159.5	12159.5	1	200	200
74	Cleavers	8457.5	8457.5	1	200	200
75	Cleavers	10097.5	10097.5	1	200	200
76	Cleavers	10210.5	10210.5	1	200	200
77	Cleavers	8386.0	4711.0	2	200	200
78	Cleavers	8460.0	3659.0	3	200	200
79	Cleavers	8220.0	6845.0	3	200	200
80	Cleavers	5377.5	3253.0	2	200	200
81	Cleavers	11687.5	11687.5	1	200	200
82	Cleavers	4742.5	2225.5	3	200	200
83	Cleavers	7641.5	7641.5	1	200	200
84	Cleavers	5398.0	5398.0	2	200	200
85	Cleavers	8657.5	4325.5	3	200	200
86	Cleavers	13686.0	7041.0	2	200	200
87	Cleavers	6987.0	3564.5	3	200	200
88	Cleavers	5541.5	5541.5	1	200	200
89	Cleavers	7919.0	2914.0	3	200	200
90	Cleavers	17186.5	17186.5	1	200	200
91	Cleavers	10855.0	10855.0	1	200	200
92	Cleavers	6513.5	4064.0	6	200	200
93	Cleavers	5956.5	2726.5	5	200	200
94	Cleavers	5771.0	3831.0	3	200	200
95	Cleavers	12844.5	12844.5	1	200	200
96	Cleavers	10827.0	10827.0	4	200	200
97	Cleavers	9779.0	9779.0	1	200	200
98	Cleavers	6837.0	4223.5	4	200	200
99	Cleavers	9051.5	4613.5	3	200	200
100	Cleavers	8347.0	4371.5	2	200	200
101	Cleavers	6607.5	2567.0	4	200	200
102	Cleavers	9646.5	4836.0	3	200	200
103	Cleavers	7426.0	7426.0	1	200	200
104	Cleavers	5876.0	3393.5	3	200	200
105	Cleavers	9747.0	5133.5	2	200	200
106	Cleavers	4998.5	3237.5	5	200	200
107	Cleavers	9210.5	9210.5	1	200	200
108	Cleavers	14407.0	14407.0	1	200	200
109	Cleavers	9191.0	4114.0	3	200	200
110	Cleavers	6497.0	4355.5	3	200	200
111	Cleavers	11780.0	11780.0	2	200	200
112	Cleavers	11187.5	11187.5	1	200	200
113	Cleavers	9104.0	3601.5	3	200	200
114	Cleavers	9312.0	4844.5	3	200	200
115	Cleavers	9027.5	6264.0	4	200	200
116	Cleavers	7509.0	5801.5	3	200	200
117	Cleavers	11553.0	5416.5	4	200	200
118	Cleavers	10460.5	5637.0	2	200	200
119	Cleavers	10068.0	6603.0	5	200	200
120	Cleavers	10931.0	10931.0	1	200	200
121	Cleavers	12963.0	9586.5	2	200	200
122	Cleavers	9334.0	9334.0	2	200	200
123	Cleavers	12762.0	7888.0	7	200	200
124	Cleavers	8109.5	8109.5	1	200	200
125	Cleavers	11410.5	11410.5	1	200	200
126	Cleavers	23502.5	23502.5	2	200	200
127	Cleavers	7266.0	3093.5	4	200	200
128	Cleavers	11503.0	11503.0	1	200	200
129	Cleavers	10456.5	10456.5	5	200	200
130	Cleavers	8260.5	4462.0	4	200	200
131	Cleavers	10725.5	5546.5	2	200	200
132	Cleavers	11329.5	11329.5	1	200	200
133	Cleavers	9920.0	5693.5	3	200	200
134	Cleavers	10163.0	9826.0	2	200	200
135	Cleavers	9529.0	9529.0	1	200	200
136	Cleavers	5941.0	3124.5	3	200	200
137	Cleavers	10532.0	10532.0	1	200	200
138	Cleavers	8879.0	8879.0	3	200	200
139	Cleavers	8227.0	5088.0	4	200	200
